timestamp,host,minimum_latency,maximum_latency,average_latency,packet_loss,jitter,throughput
2026-08-07 09:58:08,8.8.8.8,16.0,30.0,18.6,0.0,5.0,43.77836019443114
2026-08-07 09:58:48,8.8.8.8,16.0,20.0,16.7,0.0,0.8888888888888888,98.73248355166366
2026-08-07 09:59:31,8.8.8.8,16.0,167.0,35.333333333333336,10.0,39.25,49.25632335360282
2026-08-07 10:00:11,8.8.8.8,16.0,24.0,17.0,0.0,1.1111111111111112,50.87135749305103
2026-08-07 10:00:51,8.8.8.8,15.0,24.0,17.2,0.0,1.7777777777777777,69.42120089641863
2026-08-07 10:01:31,8.8.8.8,16.0,52.0,21.5,0.0,6.444444444444445,53.11003579032806
2026-08-07 10:09:13,8.8.8.8,22.0,30.0,23.1,0.0,1.3333333333333333,48.62697587116293
2026-08-07 10:09:57,8.8.8.8,22.0,31.0,24.77777777777778,10.0,3.25,63.13836973612212
2026-08-07 10:10:37,8.8.8.8,22.0,30.0,24.2,0.0,2.0,58.045379782878406
2026-08-07 10:11:20,8.8.8.8,22.0,29.0,23.77777777777778,10.0,2.125,54.1086364360551
2026-08-07 10:12:00,8.8.8.8,22.0,100.0,31.1,0.0,17.0,69.97524600714132
2026-08-07 10:12:40,8.8.8.8,22.0,30.0,24.5,0.0,2.0,59.25943089496943
2026-08-07 10:13:20,8.8.8.8,22.0,37.0,24.1,0.0,2.111111111111111,70.26146796290853
2026-08-07 10:20:26,8.8.8.8,22.0,62.0,28.333333333333332,10.0,11.5,7.796804787196024
2026-08-07 10:21:06,8.8.8.8,22.0,609.0,84.4,0.0,132.22222222222223,57.83810915910533
2026-08-07 10:21:45,8.8.8.8,22.0,30.0,23.9,0.0,1.4444444444444444,76.6505025141699
2026-08-07 10:22:25,8.8.8.8,22.0,30.0,23.7,0.0,1.6666666666666667,68.67135712288851
2026-08-07 10:23:05,8.8.8.8,23.0,526.0,76.0,0.0,113.88888888888889,65.1485443019542
2026-08-07 10:23:45,8.8.8.8,22.0,30.0,23.1,0.0,1.4444444444444444,54.34768073764438
2026-08-07 10:24:25,8.8.8.8,22.0,26.0,22.7,0.0,1.2222222222222223,50.71718993444365
2026-08-07 10:25:08,8.8.8.8,22.0,29.0,23.3,0.0,1.5555555555555556,47.76583908155933,normal
2026-08-07 10:25:48,8.8.8.8,22.0,30.0,23.1,0.0,1.4444444444444444,70.57176400217556,normal
2026-08-07 10:26:27,8.8.8.8,22.0,32.0,24.5,0.0,3.2222222222222223,84.9715060178723,normal
2026-08-07 10:27:07,8.8.8.8,22.0,29.0,23.1,0.0,1.6666666666666667,71.3486581207013,normal
2026-08-07 10:27:47,8.8.8.8,22.0,30.0,23.6,0.0,2.111111111111111,64.14640347748022,normal
2026-08-07 10:28:26,8.8.8.8,22.0,35.0,23.4,0.0,1.6666666666666667,95.33337841300977,normal
2026-08-07 10:29:06,8.8.8.8,22.0,30.0,24.0,0.0,2.0,89.85843074075343,normal
2026-08-07 10:29:50,8.8.8.8,22.0,36.0,24.2,0.0,2.888888888888889,8.554157900981378,normal
2026-08-07 10:30:30,8.8.8.8,22.0,527.0,73.6,0.0,113.33333333333333,67.14928787129853,normal
2026-08-07 10:31:13,8.8.8.8,22.0,31.0,24.22222222222222,10.0,3.375,67.68330575258332,normal
2026-08-07 10:31:55,8.8.8.8,22.0,30.0,23.5,0.0,1.1111111111111112,17.896886374422536,normal
2026-08-07 10:32:35,8.8.8.8,22.0,23.0,22.3,0.0,0.3333333333333333,33.96984240884934,normal
2026-08-07 10:33:18,8.8.8.8,21.0,30.0,23.444444444444443,10.0,2.0,69.504086010458,normal
2026-08-07 10:33:58,8.8.8.8,22.0,30.0,23.2,0.0,1.3333333333333333,76.0707947588591,normal
2026-08-07 10:34:37,8.8.8.8,22.0,31.0,23.1,0.0,1.2222222222222223,68.13024538673984,normal
2026-08-07 10:35:17,8.8.8.8,22.0,24.0,22.6,0.0,0.8888888888888888,60.81308038916681,normal
2026-08-07 10:35:58,8.8.8.8,22.0,25.0,23.0,0.0,1.2222222222222223,24.83454605633611,normal
2026-08-07 10:36:38,8.8.8.8,21.0,38.0,24.3,0.0,3.5555555555555554,55.65169394317543,normal
2026-08-07 10:37:18,8.8.8.8,22.0,24.0,22.3,0.0,0.6666666666666666,70.25052361655105,normal
2026-08-07 10:37:57,8.8.8.8,22.0,648.0,85.3,0.0,139.66666666666666,63.14839851971852,normal
2026-08-07 10:38:37,8.8.8.8,22.0,28.0,23.5,0.0,1.7777777777777777,70.13373185490192,normal
2026-08-07 10:39:17,8.8.8.8,22.0,33.0,23.4,0.0,1.6666666666666667,49.527187794098026,normal
2026-08-07 10:40:01,8.8.8.8,22.0,30.0,23.666666666666668,10.0,1.125,52.66515132442816,normal
2026-08-07 10:40:41,8.8.8.8,22.0,30.0,23.1,0.0,1.1111111111111112,52.48704421687942,normal
2026-08-07 10:41:21,8.8.8.8,22.0,26.0,22.8,0.0,1.3333333333333333,55.47432299679829,normal
2026-08-07 10:42:05,8.8.8.8,21.0,34.0,24.22222222222222,10.0,4.5,23.022199388314746,normal
2026-08-07 10:42:45,8.8.8.8,22.0,23.0,22.6,0.0,0.6666666666666666,40.063156507212085,normal
2026-08-07 10:43:25,8.8.8.8,22.0,24.0,22.3,0.0,0.5555555555555556,54.67992108879987,normal
2026-08-07 10:44:05,8.8.8.8,22.0,30.0,23.1,0.0,1.4444444444444444,66.36339075892683,normal
2026-08-07 10:44:45,8.8.8.8,22.0,30.0,23.1,0.0,1.4444444444444444,65.00282448882177,normal
2026-08-07 10:45:25,8.8.8.8,22.0,35.0,23.6,0.0,1.4444444444444444,64.47800658415085,normal
2026-08-07 10:46:08,8.8.8.8,22.0,31.0,24.22222222222222,10.0,3.25,70.74931231474247,normal
2026-08-07 10:46:48,8.8.8.8,22.0,535.0,74.6,0.0,115.22222222222223,52.065819882574885,normal
